"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"11",NA,1,0,0,1,1,0,NA,0,0,1,1,0,0,1,1,1,1,NA,0,1,1,0,NA,1,1,0,1,0,1,1,1,0,0,1,1,1,NA,0,1,1,1,0,0,1,NA,1,1,NA,NA,1,1,0,0,0,1,0,1,0,1,1,NA,0,0,1,1,NA,1,0,1,1,1,0,0,1,1,NA,NA,NA,0,1,1,0,0,1,1,0,NA,0,NA,NA,1,NA,0,0,1,0,1,0,0
"12",NA,0,0,0,0,1,0,NA,NA,0,1,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,NA,0,0,NA,NA,0,0,1,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"13",0,1,0,NA,NA,0,0,0,1,0,NA,1,0,NA,0,NA,0,0,NA,0,0,1,0,0,0,0,NA,0,1,0,1,NA,0,1,0,0,NA,0,1,0,0,NA,0,1,0,0,0,NA,1,NA,0,1,NA,NA,0,NA,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,1,0,0,NA,0,1,0,0,0,0,1,0
"14",0,NA,0,NA,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA
"15",NA,0,NA,1,1,1,0,1,NA,0,1,NA,1,1,1,1,0,NA,NA,0,0,0,0,0,NA,1,NA,NA,0,0,0,0,0,NA,1,1,NA,1,0,0,0,0,0,1,1,1,NA,1,NA,0,0,NA,0,1,0,1,0,1,NA,NA,0,0,NA,0,NA,1,0,1,NA,NA,0,0,0,1,1,1,NA,1,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,1,1,1,1,NA,NA,0,NA
"16",0,0,1,NA,0,NA,0,1,NA,0,NA,0,1,0,1,0,0,1,NA,0,0,0,0,0,1,0,NA,1,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,1,NA,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,0,0,NA,1,0,0,NA,0,NA,0,NA,NA,0,1,0,0,0,NA,0,0,1,0,0,NA,0,NA,0,0,1,0,0,0,0,1,0,0
"17",0,NA,1,NA,NA,NA,1,1,0,0,1,NA,1,NA,1,NA,1,NA,0,0,0,NA,1,NA,1,NA,0,1,0,NA,NA,1,0,0,0,1,1,1,NA,0,1,1,1,0,NA,1,NA,1,0,0,1,1,1,0,0,1,NA,1,0,0,0,1,0,0,0,NA,1,1,0,NA,NA,NA,1,0,0,1,1,1,0,NA,1,NA,0,0,NA,1,1,1,0,0,1,1,1,0,0,1,1,1,0,NA
"18",0,0,0,0,0,1,0,0,NA,0,NA,NA,NA,0,NA,1,NA,0,1,0,0,0,0,0,0,1,0,0,1,0,NA,0,0,0,NA,0,0,0,1,NA,0,0,0,0,0,NA,NA,0,1,0,0,0,NA,0,0,1,0,0,NA,0,0,NA,NA,0,0,0,NA,0,1,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,1,NA,0,0,0,0,0,0,0,0,1,0
"19",0,1,NA,1,0,NA,1,0,1,1,1,0,1,1,1,0,1,0,1,NA,0,0,0,1,0,1,0,0,1,1,0,NA,0,NA,NA,0,1,NA,1,1,NA,1,0,1,1,NA,1,1,1,1,1,1,1,1,0,1,NA,0,NA,1,0,0,0,1,0,0,NA,0,NA,1,1,1,0,NA,0,0,1,NA,1,1,1,1,0,1,1,0,1,0,1,NA,0,1,1,1,0,0,1,0,NA,1
"20",0,0,0,1,1,NA,NA,0,0,0,1,NA,0,1,1,NA,1,NA,0,1,0,0,0,1,1,0,NA,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,NA,1,1,0,NA,0,0,NA,0,0,0,1,1,0,NA,0,NA,1,0,NA,0,1,NA,0,1,0,0,NA,0,0,0,NA,1,NA,1,0,0,1,NA,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1
"21",0,1,NA,NA,0,1,0,0,0,NA,0,1,1,NA,1,1,0,0,0,NA,0,1,1,0,0,1,0,0,0,NA,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,NA,0,NA,0,1,1,NA,0,1,NA,0,1,0,NA,1,NA,0,NA,1,0,0,NA,0,NA,1,1,0,NA,1,0,0,0,0,0,1,1,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,0,NA,0
"22",1,1,0,1,0,NA,0,0,0,0,0,1,0,NA,0,0,NA,1,0,0,0,NA,0,0,0,NA,0,1,0,0,1,1,1,NA,1,0,0,1,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,1,1,1,0,0,0,0,0,0,NA,1,1,0,NA,NA,0,NA,0,0,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0
"23",NA,NA,1,NA,0,1,0,1,0,NA,NA,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,1,0,1,NA,0,NA,0,0,1,NA,1,0,1,0,0,0,NA,0,1,0,1,0,NA,NA,0,0,0,0,1,0,1,NA,1,0,0,0,0,0,1,0,1,0,NA,0,0,1,0,0,1,0,1,0,1
"24",1,0,0,1,0,1,1,0,0,0,1,NA,0,1,NA,1,0,NA,NA,0,1,1,0,1,0,NA,0,NA,1,0,1,1,NA,NA,1,1,1,1,1,0,1,0,0,NA,0,NA,1,1,0,0,1,NA,0,NA,0,1,1,1,NA,1,1,1,0,1,0,NA,1,1,0,NA,1,1,0,1,0,1,1,1,0,0,NA,NA,0,NA,0,NA,1,NA,1,0,1,NA,0,1,NA,1,1,NA,0,0
"25",1,0,0,NA,1,0,0,0,0,NA,1,0,0,0,NA,NA,0,0,0,0,1,1,0,0,1,0,0,NA,0,0,NA,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,NA,0,0,0,0,NA,0,1,NA,0,0,0,1,0,0,NA,0,NA,1,NA,0,0,0,1,NA,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,NA,0,0,0,0,0,1,1,0,0,0,0
"26",0,0,NA,1,NA,0,0,0,0,0,NA,NA,0,NA,0,1,0,0,0,NA,0,1,0,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,0,0,0,NA,0,0,NA,NA,1,0,0,0,0,0,NA,0,0,0,NA,0,1,0,0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,NA
"27",0,NA,1,1,NA,1,0,NA,1,0,1,NA,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,NA,1,1,NA,0,NA,0,1,1,1,1,1,1,1,1,1,0,NA,1,1,1,0,1,0,0,1,0,0,1,1,NA,1,1,NA,0,1,0,0,NA,1,1,NA,1,0,0,1,0,1,1,1,1,1,NA,NA,0,1,0,0,1,1,NA,1,1,0,0,1,0
"28",0,NA,1,1,0,NA,0,0,0,0,0,0,NA,0,0,1,NA,1,0,0,NA,0,1,0,0,1,0,1,0,0,0,0,1,NA,1,1,1,NA,0,0,0,0,1,0,0,0,0,1,0,NA,0,0,NA,0,0,0,1,1,NA,NA,0,0,1,1,0,1,NA,NA,0,0,0,NA,NA,0,0,NA,0,1,0,0,0,0,1,1,NA,1,0,NA,0,0,0,0,1,0,0,1,NA,1,NA,0
"29",NA,0,0,NA,0,0,0,1,0,1,1,0,0,NA,NA,0,0,1,0,1,0,NA,0,1,0,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,0,1,0,NA,0,1,0,NA,0,1,0,NA,0,1,0,1,0,0,NA,0,0,1,NA,0,0,1,0,0,0,1,0,1,1,NA,0,1,0,0,0,1,0,1,0,NA,0,1,0,NA,0,0,0,1,0,NA,0,NA,0,0,NA,1,0,1
"30",0,1,NA,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,0,0,NA,NA,1,0,0,0,NA,1,0,NA,0,0,0,1,NA,0,0,0,NA,NA,0,0,0,1,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0
"31",NA,0,0,1,0,0,0,0,0,0,1,NA,0,NA,NA,0,0,0,0,NA,1,1,0,0,0,0,0,NA,0,0,1,1,0,NA,NA,0,NA,0,0,1,1,0,0,0,0,0,0,NA,0,1,1,NA,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,0,0,0,1,1,1,NA,0,NA,0,0,1,0,1,1,0,0,0,0,0,0,NA,0,NA,1,0,NA,0,NA,0,0,0,0,0
"32",0,1,0,0,0,0,1,NA,1,0,NA,1,NA,NA,0,0,1,1,1,0,0,NA,0,NA,0,NA,NA,1,1,0,NA,1,0,0,0,0,1,0,NA,1,0,1,0,0,0,0,1,0,NA,0,0,1,0,0,0,1,1,0,1,1,0,NA,0,0,0,0,NA,NA,NA,1,0,1,1,0,0,0,1,NA,1,1,0,NA,1,0,0,0,1,0,1,0,NA,1,1,NA,0,0,1,0,1,0
"33",0,1,1,0,1,0,0,NA,NA,0,1,1,1,0,1,0,0,1,0,NA,0,1,0,NA,1,1,NA,1,0,NA,1,1,0,NA,0,NA,0,1,0,0,NA,1,0,0,NA,0,0,NA,0,1,NA,1,0,0,0,0,0,NA,0,0,1,1,NA,0,0,0,0,NA,0,0,1,1,NA,NA,0,0,0,1,0,0,1,1,NA,NA,1,0,0,1,0,NA,1,1,1,0,NA,0,0,NA,0,0
"34",0,NA,0,0,1,0,0,0,NA,0,0,1,0,0,1,0,0,1,1,0,0,NA,NA,0,NA,0,0,NA,1,0,0,NA,0,0,1,0,0,NA,1,0,NA,1,0,0,1,0,0,1,1,NA,0,NA,0,0,NA,0,0,0,1,0,0,NA,0,0,1,0,0,0,1,0,0,1,NA,NA,1,NA,0,NA,1,0,0,1,0,NA,1,0,0,NA,1,0,0,1,0,0,1,0,0,0,NA,0
"35",1,1,NA,1,1,1,NA,0,0,0,NA,1,0,NA,NA,1,1,0,0,0,1,1,NA,0,1,1,0,0,1,NA,1,1,NA,NA,1,1,1,NA,0,1,1,NA,0,0,0,1,1,0,NA,0,1,NA,0,0,0,NA,1,NA,1,NA,NA,NA,0,0,0,1,1,NA,0,0,1,1,0,0,1,1,1,0,NA,0,1,1,0,0,NA,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0
"36",0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,1,NA,0,1,NA,0,0,0,0,NA,0,0,0,1,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,0,0,0,1,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"37",NA,NA,0,0,0,NA,0,0,0,NA,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,1,0,NA,NA,0,1,0,0,0,1,1,0,0,0,NA,1,0,0,NA,0,1,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0
"38",NA,1,0,1,0,1,0,0,NA,0,0,1,0,1,1,1,0,1,0,0,NA,1,0,1,0,NA,0,0,0,1,0,NA,0,NA,0,1,NA,0,0,1,NA,1,0,NA,NA,1,0,1,0,1,0,NA,0,1,0,1,0,0,0,1,NA,1,0,1,0,1,0,0,NA,1,0,1,0,NA,0,1,0,1,0,0,0,1,0,1,NA,1,0,0,0,0,0,1,0,1,0,1,0,0,0,NA
"39",0,1,1,0,0,0,0,0,NA,0,0,1,1,0,1,NA,1,0,NA,1,0,NA,0,0,0,NA,0,0,1,1,0,1,0,0,NA,0,1,0,1,1,0,NA,NA,0,NA,0,NA,1,NA,1,NA,1,0,0,NA,NA,0,NA,NA,1,0,1,0,NA,0,NA,1,0,1,1,0,1,0,0,0,NA,1,0,1,1,NA,1,0,NA,0,0,0,NA,1,NA,0,1,1,0,NA,0,1,0,1,1
"40",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1,0,NA,0,0,0,0
"41",0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0
"42",NA,1,0,NA,0,0,NA,0,NA,0,1,1,0,1,NA,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,0,1,1,NA,1,0,0,0,0,0,0,NA,1,0,NA,1,NA,0,1,0,0,NA,1,0,NA,NA,NA,0,0,0,0,NA,1,0,1,0,NA,0,0,0,0,1,1,NA,1,NA,0,0,NA,0,0,1,1,NA,NA,NA,0,0,NA,0,0,1,NA,0,1,0,NA,0,0,0,0
"43",0,0,0,NA,0,0,NA,0,0,1,1,NA,0,0,0,0,1,0,0,1,0,NA,0,0,NA,NA,0,0,0,1,NA,NA,0,1,0,0,0,0,0,1,0,NA,NA,1,0,0,NA,0,0,1,0,0,NA,0,0,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,NA,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,1,0,0,0,1,0,0,0,NA,NA,NA
"44",NA,0,1,0,NA,0,NA,0,0,0,1,NA,NA,0,1,1,0,0,0,NA,1,1,1,0,1,NA,NA,0,0,0,1,0,1,0,NA,1,0,0,0,1,1,0,0,0,1,0,NA,NA,NA,0,1,0,0,0,1,NA,1,0,0,1,1,NA,NA,NA,1,0,1,0,0,0,1,0,1,NA,1,NA,NA,0,0,NA,1,0,1,0,1,0,NA,0,0,0,NA,0,NA,0,0,NA,1,0,0,0
"45",0,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,0,1,0,0
"46",1,1,1,1,0,0,1,0,0,NA,1,1,1,1,1,0,1,0,NA,NA,1,1,NA,0,NA,1,1,0,NA,0,NA,1,0,1,NA,NA,NA,0,0,NA,1,1,0,1,NA,NA,1,NA,NA,0,NA,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,NA,0,1,1,1,1,NA,NA,NA,0,0,0,1,1,NA,0,NA,0,1,0,0,NA,NA,1,1,1,NA,0,1,0,0,0
"47",1,0,0,1,0,1,1,0,0,NA,0,0,NA,0,0,1,1,0,NA,0,0,0,0,0,0,1,0,0,NA,0,1,0,NA,0,1,1,1,0,0,0,NA,0,0,NA,0,1,1,0,NA,0,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,NA,1,0,0,0,NA,0,NA,NA,1,1,1,0,0,0,0,NA,1,0,NA,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,0
"48",1,0,0,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,0,0,0,0,NA,0,1,NA,NA,0,0,0,NA,1,NA,0,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,NA,0,0,NA,0,0,0,NA,0,NA,0,0,0,0
"49",0,0,1,0,0,0,NA,1,0,0,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,1,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,NA,0,0,NA,0,0,0,0,0,1,0,NA,0,0,NA,0,NA,NA,0,1,NA,0,0,0,0,0,0,0,NA,1,0,NA,0,0,1,0,0,0,0,1,0,0
"50",0,0,0,NA,NA,0,NA,0,0,NA,0,NA,0,0,1,0,0,NA,0,0,NA,NA,0,0,1,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,1,0,1,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,NA,0,0,NA,NA,1,NA,0,0,0,0,NA,0,0,0,1,0,0,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0
"51",0,1,1,1,1,NA,1,0,1,1,0,1,1,0,1,1,1,NA,NA,1,0,NA,1,0,1,1,1,NA,1,1,1,1,1,0,NA,1,1,1,1,1,0,1,1,NA,0,0,1,0,1,1,0,1,1,0,0,1,NA,1,1,NA,0,NA,1,NA,NA,1,1,0,1,1,NA,1,NA,0,0,NA,1,1,1,1,0,0,1,0,NA,1,1,NA,NA,1,NA,1,NA,0,0,1,1,NA,NA,1
"52",0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"53",NA,0,0,1,1,0,1,NA,0,NA,0,1,0,1,1,0,0,1,0,0,NA,1,0,1,1,0,NA,1,0,0,0,1,1,NA,1,0,NA,1,NA,0,NA,0,0,NA,0,0,1,0,0,0,0,1,0,NA,1,0,1,1,NA,1,0,0,1,1,NA,0,1,1,0,NA,NA,0,1,1,1,0,NA,NA,NA,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,NA,NA
"55",0,NA,1,1,NA,1,0,0,0,0,0,0,1,NA,1,1,0,1,0,0,NA,0,1,NA,1,NA,0,NA,NA,1,0,0,1,1,1,0,0,0,NA,1,0,NA,1,1,1,NA,0,1,0,1,0,0,NA,1,NA,1,0,NA,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,NA,1,NA,0,1,NA,0,0,0,1,1,NA,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,NA,0
"56",0,1,0,0,0,0,NA,0,0,NA,0,1,0,0,1,NA,1,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,NA,NA,0,0,0,0,0,0,1,NA,NA,1,0,NA,1,0,0,NA,1,0,0,0,0,0,0,NA,0,0,1,0,0,0,NA,0,NA,0,0,0,1,NA,0,NA,0,0,0,0,NA,0,1,0,0,1,0,0,NA,NA,NA,0,1,0,0,0,NA,0,0,0,0
"57",0,0,NA,0,NA,0,1,0,0,NA,1,0,1,NA,0,1,1,1,0,NA,0,0,1,0,0,0,1,1,0,NA,1,0,1,0,0,NA,NA,1,0,1,0,0,1,0,0,NA,1,NA,0,1,0,0,0,0,0,1,NA,1,1,NA,0,0,NA,0,0,0,1,0,0,1,1,NA,1,NA,0,0,NA,1,0,1,NA,NA,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,NA,1
"58",1,0,0,1,0,0,NA,NA,0,NA,1,0,0,0,1,1,NA,0,0,0,NA,0,NA,0,NA,0,0,0,1,0,NA,0,0,0,1,0,0,0,1,0,1,0,0,NA,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,1,0,NA,0,0,0,NA,0,0,0,0,0,1,0,NA,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,NA,0
"59",0,1,1,NA,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,NA,1,NA,0,NA,0,NA,1,0,NA,0,1,1,0,1,0,1,NA,0,0,0,NA,1,0,NA,NA,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,NA,1,NA,NA,0,0,NA,NA,0,0,0,1,1,0,NA,NA,1,1,0,0,NA,1,1,0,0,0,1,1,0,0
"60",1,0,0,0,0,NA,0,1,NA,0,NA,0,1,0,NA,1,1,1,NA,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,NA,1,0,1,0,0,0,0,0,1,1,1,0,NA,0,0,0,0,1,NA,1,1,0,1,0,0,NA,0,1,1,1,1,0,NA,0,0,0,0,1,NA,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,NA,NA,1,0
